,dt,pEKS,sEKS,dp5,kv5,N
0,1.0,0.00201416015625,0.0019216537475585938,0.003734111785888672,0.018431663513183594,10.0
1,0.5,0.0024454593658447266,0.0035598278045654297,0.0043489933013916016,0.02563023567199707,20.0
2,0.25,0.0030384063720703125,0.00692439079284668,0.005666255950927734,0.039383649826049805,40.0
3,0.125,0.003657817840576172,0.013453006744384766,0.008897542953491211,0.0710597038269043,80.0
4,0.0625,0.00434112548828125,0.026466846466064453,0.0168454647064209,0.13591623306274414,160.0
5,0.03125,0.005201101303100586,0.05289483070373535,0.031000852584838867,0.26715874671936035,320.0
6,0.015625,0.006533145904541016,0.10454654693603516,0.05982828140258789,0.5594398975372314,640.0
7,0.0078125,0.008129119873046875,0.20872902870178223,0.11112856864929199,1.093965768814087,1280.0
8,0.00390625,0.013585329055786133,0.414844274520874,0.23071575164794922,2.173579216003418,2560.0
9,0.001953125,0.016098499298095703,0.8324384689331055,0.4389519691467285,4.368129253387451,5120.0
10,0.0009765625,0.026404380798339844,1.6640007495880127,0.8987729549407959,8.978058576583862,10240.0
11,0.00048828125,0.047147512435913086,3.347649335861206,2.0571813583374023,17.842035055160522,20480.0
12,0.000244140625,0.08737397193908691,6.696578025817871,3.8895609378814697,37.17768216133118,40960.0
13,0.0001220703125,0.19428110122680664,13.506621599197388,8.047982931137085,72.39984679222107,81920.0
14,6.103515625e-05,0.41286587715148926,27.016099452972412,19.175300359725952,,163840.0
15,3.0517578125e-05,0.8388693332672119,53.293973207473755,44.65382671356201,,327680.0
16,1.52587890625e-05,1.7247428894042969,108.20888090133667,124.29967474937439,,655360.0
17,7.62939453125e-06,3.4388439655303955,214.28801918029785,361.6976764202118,,1310720.0
18,3.814697265625e-06,7.108644247055054,430.20259714126587,1219.667922258377,3268.131852865219,2621440.0
