,dt,pEKS,sEKS,dp5,kv5,N
0,1.0,0.0016911029815673828,0.0017518997192382812,0.002145051956176758,0.013879060745239258,10.0
1,0.5,0.0022406578063964844,0.003305673599243164,0.0029158592224121094,0.020520925521850586,20.0
2,0.25,0.0029006004333496094,0.0064182281494140625,0.004006624221801758,0.033151865005493164,40.0
3,0.125,0.003623485565185547,0.012667655944824219,0.0057697296142578125,0.059087514877319336,80.0
4,0.0625,0.004609584808349609,0.0250852108001709,0.011267423629760742,0.117095947265625,160.0
5,0.03125,0.006188154220581055,0.05199694633483887,0.02146744728088379,0.22903013229370117,320.0
6,0.015625,0.008288860321044922,0.10238361358642578,0.040228843688964844,0.45374441146850586,640.0
7,0.0078125,0.012331485748291016,0.20440888404846191,0.07961797714233398,0.9138073921203613,1280.0
8,0.00390625,0.01967310905456543,0.4057126045227051,0.15607857704162598,1.825627326965332,2560.0
9,0.001953125,0.035257577896118164,0.8064279556274414,0.3135523796081543,3.653702735900879,5120.0
10,0.0009765625,0.06342935562133789,1.6144413948059082,0.6375632286071777,7.362180948257446,10240.0
11,0.00048828125,0.12079334259033203,3.2264256477355957,1.3421216011047363,14.846303224563599,20480.0
12,0.000244140625,0.23233938217163086,6.517761468887329,2.943551540374756,30.47335910797119,40960.0
13,0.0001220703125,0.5655994415283203,13.01714038848877,7.271409034729004,63.49478888511658,81920.0
14,6.103515625e-05,1.2283027172088623,26.239426851272583,18.89647388458252,,163840.0
