,dt,pEKS,sEKS,dp5,kv5,N
0,1.0,0.0016410350799560547,0.0017647743225097656,0.0010595321655273438,0.012679815292358398,10.0
1,0.5,0.0022013187408447266,0.003386259078979492,0.0017199516296386719,0.019337892532348633,20.0
2,0.25,0.0028107166290283203,0.006529092788696289,0.0029566287994384766,0.0327908992767334,40.0
3,0.125,0.003582477569580078,0.01373147964477539,0.004987239837646484,0.057028770446777344,80.0
4,0.0625,0.004617929458618164,0.026500701904296875,0.01030588150024414,0.11160063743591309,160.0
5,0.03125,0.006623506546020508,0.05108785629272461,0.0203092098236084,0.23177671432495117,320.0
6,0.015625,0.008333683013916016,0.10259032249450684,0.04026603698730469,0.4667785167694092,640.0
7,0.0078125,0.012208700180053711,0.20563507080078125,0.07930779457092285,0.912299633026123,1280.0
8,0.00390625,0.01985025405883789,0.4127686023712158,0.15954899787902832,1.9100990295410156,2560.0
9,0.001953125,0.03473639488220215,0.8250265121459961,0.3218972682952881,3.7979862689971924,5120.0
10,0.0009765625,0.06362509727478027,1.6497623920440674,0.6244547367095947,7.426441669464111,10240.0
11,0.00048828125,0.12240314483642578,3.299868583679199,1.2408010959625244,14.592447519302368,20480.0
12,0.000244140625,0.23858332633972168,6.551132917404175,2.384819746017456,29.085810899734497,40960.0
13,0.0001220703125,0.5234220027923584,13.106197118759155,5.202994108200073,58.38343596458435,81920.0
14,6.103515625e-05,1.0797476768493652,26.2338228225708,9.684872388839722,,163840.0
