,dt,pEKS,sEKS,dp5,kv5,kv3,N
0,1.0,0.0017292499542236328,0.0016579627990722656,0.0034770965576171875,0.020107269287109375,0.020143747329711914,10.0
1,0.5,0.0022323131561279297,0.0030298233032226562,0.004685640335083008,0.028509855270385742,0.028342008590698242,20.0
2,0.25,0.002794027328491211,0.005823850631713867,0.006361484527587891,0.044904232025146484,0.04412579536437988,40.0
3,0.125,0.003357410430908203,0.011488914489746094,0.009296178817749023,0.07569050788879395,0.07896900177001953,80.0
4,0.0625,0.003551006317138672,0.01976633071899414,0.01831340789794922,0.14904999732971191,0.14856290817260742,160.0
5,0.03125,0.004076480865478516,0.03913760185241699,0.03638148307800293,0.3126695156097412,0.3173224925994873,320.0
6,0.015625,0.005206584930419922,0.07963180541992188,0.06396698951721191,0.5878801345825195,0.581993818283081,640.0
7,0.0078125,0.0052454471588134766,0.1535930633544922,0.12292075157165527,1.1750946044921875,1.1795234680175781,1280.0
8,0.00390625,0.007179737091064453,0.3049302101135254,0.25141453742980957,2.360629081726074,2.313408613204956,2560.0
9,0.001953125,0.008639812469482422,0.6101059913635254,0.4963338375091553,4.788524627685547,4.660486936569214,5120.0
10,0.0009765625,0.011391639709472656,1.2264211177825928,0.9867751598358154,9.321378231048584,9.301732540130615,10240.0
11,0.00048828125,0.015367507934570312,2.4624860286712646,1.9855775833129883,18.744086742401123,18.34729766845703,20480.0
12,0.000244140625,0.025958538055419922,4.9066221714019775,3.9992547035217285,37.40835738182068,37.543352127075195,40960.0
13,0.0001220703125,0.04463768005371094,9.806381225585938,8.347914934158325,74.93870091438293,74.40273094177246,81920.0
14,6.103515625e-05,0.08575844764709473,19.64765739440918,17.47400140762329,,,163840.0
15,3.0517578125e-05,0.1700761318206787,39.212522745132446,38.459184646606445,,,327680.0
16,1.52587890625e-05,0.34543728828430176,78.36448979377747,90.26561117172241,,,655360.0
17,7.62939453125e-06,0.694023847579956,157.4626021385193,240.3937966823578,,,1310720.0
18,3.814697265625e-06,1.4092402458190918,318.33548641204834,700.3209810256958,2887.067446231842,2906.2197737693787,2621440.0
