,dt,pEKS,sEKS,dp5,kv5,kv3,N
0,1.0,0.0023195743560791016,0.002969503402709961,0.0030145645141601562,0.02096843719482422,0.02093815803527832,10.0
1,0.5,0.0030434131622314453,0.005836009979248047,0.003926753997802734,0.029456615447998047,0.029659748077392578,20.0
2,0.25,0.0038347244262695312,0.011449337005615234,0.005181074142456055,0.04492664337158203,0.046506643295288086,40.0
3,0.125,0.004785060882568359,0.022640466690063477,0.007557868957519531,0.07008647918701172,0.07034945487976074,80.0
4,0.0625,0.005766153335571289,0.03448820114135742,0.015160322189331055,0.13599562644958496,0.13531827926635742,160.0
5,0.03125,0.006804943084716797,0.06439709663391113,0.02778792381286621,0.26818346977233887,0.2669992446899414,320.0
6,0.015625,0.008005619049072266,0.12835979461669922,0.052407264709472656,0.5379571914672852,0.5320463180541992,640.0
7,0.0078125,0.009958267211914062,0.2564983367919922,0.10018014907836914,1.0556511878967285,1.0559978485107422,1280.0
8,0.00390625,0.012783288955688477,0.5125594139099121,0.19607186317443848,2.111830711364746,2.1160435676574707,2560.0
9,0.001953125,0.017612457275390625,1.0246169567108154,0.39844727516174316,4.233074903488159,4.235619783401489,5120.0
10,0.0009765625,0.02676081657409668,2.053495407104492,0.7877852916717529,8.504456758499146,8.634869813919067,10240.0
11,0.00048828125,0.044957637786865234,4.110601425170898,1.5956535339355469,16.93968105316162,16.95773673057556,20480.0
12,0.000244140625,0.06096458435058594,8.220551252365112,3.2284841537475586,33.97050929069519,33.95131278038025,40960.0
13,0.0001220703125,0.1333310604095459,16.567676544189453,6.899671316146851,68.44041728973389,68.27785468101501,81920.0
14,6.103515625e-05,0.28354644775390625,33.13355755805969,15.165576934814453,,,163840.0
15,3.0517578125e-05,0.5811412334442139,66.28188514709473,35.319084882736206,,,327680.0
16,1.52587890625e-05,1.1796681880950928,131.609792470932,91.57425737380981,,,655360.0
17,7.62939453125e-06,2.3936357498168945,265.14986395835876,264.38074111938477,,,1310720.0
18,3.814697265625e-06,4.814620494842529,530.3942832946777,859.5750603675842,2877.876046895981,2881.8046214580536,2621440.0
